carat,cut,color,clarity,depth,table,price,x,y,z,rowid
0.23,Ideal,E,SI2,61.50,55.00,326.00,3.95,3.98,2.43,1
0.21,Premium,E,SI1,59.80,61.00,326.00,3.89,3.84,2.31,2
0.23,Good,E,VS1,56.90,65.00,327.00,4.05,4.07,2.31,3
0.29,Premium,I,VS2,62.40,58.00,334.00,4.20,4.23,2.63,4
0.31,Good,J,SI2,63.30,58.00,335.00,4.34,4.35,2.75,5
0.24,Very Good,J,VVS2,62.80,57.00,336.00,3.94,3.96,2.48,6
0.24,Very Good,I,VVS1,62.30,57.00,336.00,3.95,3.98,2.47,7
0.26,Very Good,H,SI1,61.90,55.00,337.00,4.07,4.11,2.53,8
0.22,Fair,E,VS2,65.10,61.00,337.00,3.87,3.78,2.49,9
0.23,Very Good,H,VS1,59.40,61.00,338.00,4.00,4.05,2.39,10
0.30,Good,J,SI1,64.00,55.00,339.00,4.25,4.28,2.73,11
0.23,Ideal,J,VS1,62.80,56.00,340.00,3.93,3.90,2.46,12
0.22,Premium,F,SI1,60.40,61.00,342.00,3.88,3.84,2.33,13
0.31,Ideal,J,SI2,62.20,54.00,344.00,4.35,4.37,2.71,14
0.20,Premium,E,SI2,60.20,62.00,345.00,3.79,3.75,2.27,15
0.32,Premium,E,I1,60.90,58.00,345.00,4.38,4.42,2.68,16
0.30,Ideal,I,SI2,62.00,54.00,348.00,4.31,4.34,2.68,17
0.30,Good,J,SI1,63.40,54.00,351.00,4.23,4.29,2.70,18
0.30,Good,J,SI1,63.80,56.00,351.00,4.23,4.26,2.71,19
0.30,Very Good,J,SI1,62.70,59.00,351.00,4.21,4.27,2.66,20
0.30,Good,I,SI2,63.30,56.00,351.00,4.26,4.30,2.71,21
0.23,Very Good,E,VS2,63.80,55.00,352.00,3.85,3.92,2.48,22
0.23,Very Good,H,VS1,61.00,57.00,353.00,3.94,3.96,2.41,23
0.31,Very Good,J,SI1,59.40,62.00,353.00,4.39,4.43,2.62,24
0.31,Very Good,J,SI1,58.10,62.00,353.00,4.44,4.47,2.59,25
0.23,Very Good,G,VVS2,60.40,58.00,354.00,3.97,4.01,2.41,26
0.24,Premium,I,VS1,62.50,57.00,355.00,3.97,3.94,2.47,27
0.30,Very Good,J,VS2,62.20,57.00,357.00,4.28,4.30,2.67,28
0.23,Very Good,D,VS2,60.50,61.00,357.00,3.96,3.97,2.40,29
0.23,Very Good,F,VS1,60.90,57.00,357.00,3.96,3.99,2.42,30
0.23,Very Good,F,VS1,60.00,57.00,402.00,4.00,4.03,2.41,31
0.23,Very Good,F,VS1,59.80,57.00,402.00,4.04,4.06,2.42,32
0.23,Very Good,E,VS1,60.70,59.00,402.00,3.97,4.01,2.42,33
0.23,Very Good,E,VS1,59.50,58.00,402.00,4.01,4.06,2.40,34
0.23,Very Good,D,VS1,61.90,58.00,402.00,3.92,3.96,2.44,35
0.23,Good,F,VS1,58.20,59.00,402.00,4.06,4.08,2.37,36
0.23,Good,E,VS1,64.10,59.00,402.00,3.83,3.85,2.46,37
0.31,Good,H,SI1,64.00,54.00,402.00,4.29,4.31,2.75,38
0.26,Very Good,D,VS2,60.80,59.00,403.00,4.13,4.16,2.52,39
0.33,Ideal,I,SI2,61.80,55.00,403.00,4.49,4.51,2.78,40
0.33,Ideal,I,SI2,61.20,56.00,403.00,4.49,4.50,2.75,41
0.33,Ideal,J,SI1,61.10,56.00,403.00,4.49,4.55,2.76,42
0.26,Good,D,VS2,65.20,56.00,403.00,3.99,4.02,2.61,43
0.26,Good,D,VS1,58.40,63.00,403.00,4.19,4.24,2.46,44
0.32,Good,H,SI2,63.10,56.00,403.00,4.34,4.37,2.75,45
0.29,Premium,F,SI1,62.40,58.00,403.00,4.24,4.26,2.65,46
0.32,Very Good,H,SI2,61.80,55.00,403.00,4.35,4.42,2.71,47
0.32,Good,H,SI2,63.80,56.00,403.00,4.36,4.38,2.79,48
0.25,Very Good,E,VS2,63.30,60.00,404.00,4.00,4.03,2.54,49
0.29,Very Good,H,SI2,60.70,60.00,404.00,4.33,4.37,2.64,50
0.24,Very Good,F,SI1,60.90,61.00,404.00,4.02,4.03,2.45,51
0.23,Ideal,G,VS1,61.90,54.00,404.00,3.93,3.95,2.44,52
0.32,Ideal,I,SI1,60.90,55.00,404.00,4.45,4.48,2.72,53
0.22,Premium,E,VS2,61.60,58.00,404.00,3.93,3.89,2.41,54
0.22,Premium,D,VS2,59.30,62.00,404.00,3.91,3.88,2.31,55
0.30,Ideal,I,SI2,61.00,59.00,405.00,4.30,4.33,2.63,56
0.30,Premium,J,SI2,59.30,61.00,405.00,4.43,4.38,2.61,57
0.30,Very Good,I,SI1,62.60,57.00,405.00,4.25,4.28,2.67,58
0.30,Very Good,I,SI1,63.00,57.00,405.00,4.28,4.32,2.71,59
0.30,Good,I,SI1,63.20,55.00,405.00,4.25,4.29,2.70,60
0.35,Ideal,I,VS1,60.90,57.00,552.00,4.54,4.59,2.78,61
0.30,Premium,D,SI1,62.60,59.00,552.00,4.23,4.27,2.66,62
0.30,Ideal,D,SI1,62.50,57.00,552.00,4.29,4.32,2.69,63
0.30,Ideal,D,SI1,62.10,56.00,552.00,4.30,4.33,2.68,64
0.42,Premium,I,SI2,61.50,59.00,552.00,4.78,4.84,2.96,65
0.28,Ideal,G,VVS2,61.40,56.00,553.00,4.19,4.22,2.58,66
0.32,Ideal,I,VVS1,62.00,55.30,553.00,4.39,4.42,2.73,67
0.31,Very Good,G,SI1,63.30,57.00,553.00,4.33,4.30,2.73,68
0.31,Premium,G,SI1,61.80,58.00,553.00,4.35,4.32,2.68,69
0.24,Premium,E,VVS1,60.70,58.00,553.00,4.01,4.03,2.44,70
0.24,Very Good,D,VVS1,61.50,60.00,553.00,3.97,4.00,2.45,71
0.30,Very Good,H,SI1,63.10,56.00,554.00,4.29,4.27,2.70,72
0.30,Premium,H,SI1,62.90,59.00,554.00,4.28,4.24,2.68,73
0.30,Premium,H,SI1,62.50,57.00,554.00,4.29,4.25,2.67,74
0.30,Good,H,SI1,63.70,57.00,554.00,4.28,4.26,2.72,75
0.26,Very Good,F,VVS2,59.20,60.00,554.00,4.19,4.22,2.49,76
0.26,Very Good,E,VVS2,59.90,58.00,554.00,4.15,4.23,2.51,77
0.26,Very Good,D,VVS2,62.40,54.00,554.00,4.08,4.13,2.56,78
0.26,Very Good,D,VVS2,62.80,60.00,554.00,4.01,4.05,2.53,79
0.26,Very Good,E,VVS1,62.60,59.00,554.00,4.06,4.09,2.55,80
0.26,Very Good,E,VVS1,63.40,59.00,554.00,4.00,4.04,2.55,81
0.26,Very Good,D,VVS1,62.10,60.00,554.00,4.03,4.12,2.53,82
0.26,Ideal,E,VVS2,62.90,58.00,554.00,4.02,4.06,2.54,83
0.38,Ideal,I,SI2,61.60,56.00,554.00,4.65,4.67,2.87,84
0.26,Good,E,VVS1,57.90,60.00,554.00,4.22,4.25,2.45,85
0.24,Premium,G,VVS1,62.30,59.00,554.00,3.95,3.92,2.45,86
0.24,Premium,H,VVS1,61.20,58.00,554.00,4.01,3.96,2.44,87
0.24,Premium,H,VVS1,60.80,59.00,554.00,4.02,4.00,2.44,88
0.24,Premium,H,VVS2,60.70,58.00,554.00,4.07,4.04,2.46,89
0.32,Premium,I,SI1,62.90,58.00,554.00,4.35,4.33,2.73,90
0.70,Ideal,E,SI1,62.50,57.00,2757.00,5.70,5.72,3.57,91
0.86,Fair,E,SI2,55.10,69.00,2757.00,6.45,6.33,3.52,92
0.70,Ideal,G,VS2,61.60,56.00,2757.00,5.70,5.67,3.50,93
0.71,Very Good,E,VS2,62.40,57.00,2759.00,5.68,5.73,3.56,94
0.78,Very Good,G,SI2,63.80,56.00,2759.00,5.81,5.85,3.72,95
0.70,Good,E,VS2,57.50,58.00,2759.00,5.85,5.90,3.38,96
0.70,Good,F,VS1,59.40,62.00,2759.00,5.71,5.76,3.40,97
0.96,Fair,F,SI2,66.30,62.00,2759.00,6.27,5.95,4.07,98
0.73,Very Good,E,SI1,61.60,59.00,2760.00,5.77,5.78,3.56,99
0.80,Premium,H,SI1,61.50,58.00,2760.00,5.97,5.93,3.66,100
0.75,Very Good,D,SI1,63.20,56.00,2760.00,5.80,5.75,3.65,101
0.75,Premium,E,SI1,59.90,54.00,2760.00,6.00,5.96,3.58,102
0.74,Ideal,G,SI1,61.60,55.00,2760.00,5.80,5.85,3.59,103
0.75,Premium,G,VS2,61.70,58.00,2760.00,5.85,5.79,3.59,104
0.80,Ideal,I,VS1,62.90,56.00,2760.00,5.94,5.87,3.72,105
0.75,Ideal,G,SI1,62.20,55.00,2760.00,5.87,5.80,3.63,106
0.80,Premium,G,SI1,63.00,59.00,2760.00,5.90,5.81,3.69,107
0.74,Ideal,I,VVS2,62.30,55.00,2761.00,5.77,5.81,3.61,108
0.81,Ideal,F,SI2,58.80,57.00,2761.00,6.14,6.11,3.60,109
